index,ids,type,target_group,address,nuts3,owner,scale of_service,form_of_service,capacity,tel,mail,web,name_of_stat,name_of_stat_ast,date_of_reg,date_of_exclusion,sector,muni,type_en,fos_en,owner_en
195,"Agentúra podporovaného zamestnávania Somotor, n.o, Agátová 226/2, 076 35 Somotor, IčO: 35581166",pomoc pri osobnej starostlivosti o diea - r. 2017,Rodiny s demi,Okres Trebišov,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Adriana Ogou,JUDr.Rovinský Ladislav,20/01/2010 00:00,NULL,SK HOBO CORE,Somotor,help with personal care of the girl - 2017,field,privately owned
6,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",opatrovateľská služba,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice IV,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Martina Repejová,17/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
119,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",denné centrum,Seniori,"M. R. Štefánika 862/204, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Demjanová Henrieta,30/09/2009 00:00,NULL,Trebišov,Trebišov,daily stationary,ambulant,municipality owned
441,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",denné centrum,Seniori,"čsl. Armády 1683/1, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Demjnová Henrieta,30/09/2009 00:00,NULL,Trebišov,Trebišov,daily stationary,ambulant,municipality owned
473,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",útulok,Občania v krízovej situácii,"Bosákova 1, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,32,NULL,NULL,NULL,Ing. Cyril Korpesio,PhDr. Soňa Hlaváčová PhD.,01/07/2009 00:00,NULL,Košice,Košice,shelter,residential,privately owned
9,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",denné centrum,Rodiny s demi; Seniori; Zdravotne postihnutí občania,"Dopravná 2107/1, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Henrieta Demjanová,30/09/2009 00:00,NULL,Trebišov,Trebišov,daily stationary,ambulant,municipality owned
73,"Mestská čas Košice - Sídlisko KVP, Trieda KVP 3132/1, 040 23 Košice-Sídlisko KVP, IčO: 00691089",denné centrum,Seniori,"Cottbuská 1560/36, 04023 Košice-Sídlisko KVP",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Ladislav Lörinc,Alica Schützová,07/05/2010 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
218,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",denné centrum,Seniori,"Milhostovská 17, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Demjanová Henrieta,30/09/2009 00:00,NULL,Trebišov,Trebišov,daily stationary,ambulant,municipality owned
250,"Mestská čas Košice-Pereš, Revúcka 2590/14, 040 11 Košice-Pereš, IčO: 00690953",denné centrum,Seniori,"Krompašská 953/54, 04011 Košice-Pereš",Košický kraj,obec/mesto,neurčitý čas,ambulantná,30,NULL,NULL,NULL,Ing. Jozef Karabin,Mgr. Miriama Rakacká,17/03/2011 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
264,"Mestská čas Košice - Šaca, Železiarenská 882/9, 040 15 Košice-Šaca, IčO: 00691054",denné centrum,Seniori,"Železiarenská 510/7, 04015 Košice-Šaca",Košický kraj,obec/mesto,neurčitý čas,ambulantná,60,NULL,NULL,NULL,Ing. Daniel Petrík,JUDr. Miriam Vargová,04/02/2010 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
370,"Mestská čas Košice-Nad Jazerom, Poludníková 1454/7, 040 12 Košice-Nad jazerom, IčO: 00691038",denné centrum,Seniori,"Spišské Námestie 2365/1, 04012 Košice-Nad jazerom",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,"Ing.,Mgr. Lenka Kovačevičová",Mgr. Ivica Krausová,17/12/2009 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
463,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",denné centrum,Seniori,"Komenského 1682/13, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Demjanová Henrieta,30/09/2009 00:00,NULL,Trebišov,Trebišov,daily stationary,ambulant,municipality owned
538,"Mestská čas Košice-Staré Mesto, Hviezdoslavova 1008/7, 040 01 Košice-Staré Mesto, IčO: 00690937",denné centrum,Seniori,"Hlavná 100/47, 04001 Košice-Staré Mesto",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Ľubomír Grega,Mgr. Milena Gašajová,22/01/2010 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
213,"Mestská čas Košice-Juh, Smetanova 522/4, 040 01 Košice-Juh, IčO: 00691046",jedáleň,Seniori,"Vojvodská 2380/5, 04001 Košice-Juh",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,JUDr. Jaroslav Hlinka,Mgr. Emil Kurčák,22/12/2009 00:00,NULL,Košice,Košice,canteen,ambulant,municipality owned
298,"Mestská čas Košice - Džungľa, člnková 2491/27, 040 01 Košice-Džungľa, IčO: 00691097",komunitné centrum,Občania v krízovej situácii,"člnková 2491/27, 04001 Košice-Džungľa",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,"Ing.,Mgr. Adriana Balogová",Adriana Balogová,02/10/2015 00:00,NULL,Košice,Košice,community centre,ambulant,municipality owned
654,"Mestská čas Košice - Západ, Trieda SNP 800/39, 040 11 Košice-Západ, IčO: 00690970",denné centrum,Fyzická osoba po dosiahnutí dôchodkového veku; Rodina (jednotlivec) s maloletým dieaom; Seniori,"Laborecká 477/2, 04011 Košice-Západ",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Marcel Vrchota,Mgr. Monika Karafová,22/12/2009 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
506,"MESTSKÁ čAS KOŠICE-MYSLAVA, Pod Horou 470/22, 040 16 Košice-Myslava, IčO: 00690961",denné centrum,Seniori,"Myslavská 115/84, 040 16 Košice-Myslava",Košický kraj,obec/mesto,neurčitý čas,ambulantná,52,NULL,NULL,NULL,JUDr. JÁN GABŠTÚR,"Ing. Štefan Javnický, CSc.",29/02/2012 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
678,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",denné centrum,Seniori,"Puškinova 277/18, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Demjanová Henrieta,30/09/2009 00:00,NULL,Trebišov,Trebišov,daily stationary,ambulant,municipality owned
640,"DORKA, n. o., Hemerkova 1318/28, 040 23 Košice-Sídlisko KVP, IčO: 35582171",útulok,Fyzické osoby v nepriaznivej životnej situácii,"Hemerkova 28, 04023 Košice-Sídlisko KVP",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,70,NULL,NULL,NULL,Ing. Jolana Šuleková,Mgr. Martin Cvik,14/08/2009 00:00,NULL,Košice,Košice,shelter,residential,privately owned
716,"Oáza - nádej pre nový život, n. o. Oasis of Hope for new life, non for profit organisation, Záhrada Bernátovce 779, 040 17 Košice-Barca, IčO: 35581697",útulok,Občania v krízovej situácii,"Záhrada Bernátovce 779, 04017 Košice-Barca",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,102,NULL,NULL,NULL,Mgr. Peter Gomgita,Mgr. Peter Gombita,23/12/2009 00:00,NULL,Košice,Košice,shelter,residential,privately owned
199,"Slovenský červený kríž, územný spolok Trebišov, M. R. Štefánika 2368/176, 075 01 Trebišov, IčO: 00416274",zariadenie núdzového bývania,Fyzické osoby;  na ktorých je páchané násilie,"Konečná 1794/1794, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,20,NULL,NULL,NULL,Mgr. Zuzana Bocsár Hajduová,Mgr. Anna Šikyňová,07/07/2009 00:00,NULL,Trebišov,Trebišov,emergency housion facility,residential,privately owned
679,"Mestská čas Košice-Dargovských hrdinov, Dvorkinova 7, 04022 Košice-Dargovských hrdinov, IčO: 00690988",denné centrum,Seniori,"Jegorovovo Nám. 936/5, 04022 Košice-Dargovských hrdinov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,145,NULL,NULL,NULL,Mgr. Jozef Andrejčák,Margita Richtáriková,21/12/2009 00:00,NULL,Košice,Košice,daily stationary,ambulant,municipality owned
44,"Mesto Košice, Trieda SNP 1280/48A, 040 11 Košice-Západ, IčO: 00691135",komunitné centrum,Občania v krízovej situácii; Rodiny s demi,"Popradská 253/72, 04001 Košice-Západ",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Jaroslav Polaček,Mgr. Igor Rolný,07/06/2010 00:00,NULL,Košice,Košice,community centre,ambulant,municipality owned
142,"Mestská čas Košice - Šaca, Železiarenská 882/9, 040 15 Košice-Šaca, IčO: 00691054",komunitné centrum,Občania v krízovej situácii,"Železiarenská 510/7, 04015 Košice-Šaca",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Daniel Petrík,JUDr. Irena Dubíková,04/02/2010 00:00,NULL,Košice,Košice,community centre,ambulant,municipality owned
719,"Mesto Košice, Trieda SNP 1280/48A, 040 11 Košice-Západ, IčO: 00691135",komunitné centrum,Občania v krízovej situácii; Rodiny s demi,"Krčméryho 2, 04011 Košice-Luník IX",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Jaroslav Polaček,Mgr. Igor Rolný,07/06/2010 00:00,NULL,Košice,Košice,community centre,ambulant,municipality owned
630,"Obec Slovenské Nové Mesto, Hlavná ulica 79/128, 076 33 Slovenské Nové Mesto, IčO: 00331929",komunitné centrum,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,"Karolov dvor 304/25, 07633 Slovenské Nové Mesto",Košický kraj,obec/mesto,neurčitý čas,ambulantná,20,NULL,NULL,NULL,Ján Kalinič,Mgr. Jozef Demeter,18/06/2020 00:00,NULL,SK HOBO CORE,Slovenské Nové Mesto,community centre,ambulant,municipality owned
70,"Obec Zemplínska Teplica, Okružná 340/2, 076 64 Zemplínska Teplica, IčO: 00332194",komunitné centrum,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,"Požiarnícka 538/1A, 07664 Zemplínska Teplica",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Mgr. Jozefína Uhaľová,Mgr. Silvia Korpesiová,05/02/2010 00:00,NULL,SK HOBO CORE,Zemplínska Teplica,community centre,ambulant,municipality owned
19,"Mesto Košice, Trieda SNP 1280/48A, 040 11 Košice-Západ, IčO: 00691135",nízkoprahová sociálna služba pre deti a rodinu,Rodiny s demi,"Krčméryho 2, 04011 Košice-Luník IX",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Jaroslav Polaček,Mgr. Igor Rolný,07/06/2010 00:00,NULL,Košice,Košice,low-threshold social service for children and family,ambulant,municipality owned
475,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",stredisko osobnej hygieny,Občania v krízovej situácii,"Medická 2374/2, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Demjanová Henrieta,30/09/2009 00:00,NULL,Trebišov,Trebišov,personal hygiene centre,ambulant,municipality owned
125,"Obec Družstevná pri Hornáde, Hlavná 137/38, 044 31 Družstevná pri Hornáde, IčO: 00324116",komunitné centrum,Fyzická osoba;  ktorá zotrváva v priestorovo segregovanej lokalite s prítomnosou koncentrovanej a generačne reprodukovanej chudoby,"Pod Hôrkou 447/3, 04431 Družstevná pri Hornáde",Košický kraj,obec/mesto,neurčitý čas,ambulantná,NULL,NULL,NULL,NULL,Ing. Ján Juhás,Ing. Zuzana Ondo-Eštoková,20/07/2011 00:00,NULL,SK HOBO CORE,Družstevná pri Hornáde,community centre,ambulant,municipality owned
560,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"T.G.Masaryka 2229/36, 07501 Trebišov",Košický kraj,obec/mesto,určitý čas,ambulantná,15,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Andrea Girmanová,30/09/2009 00:00,NULL,Trebišov,Trebišov,childcare facility for children under three years,ambulant,municipality owned
699,"Mesto Košice, Trieda SNP 1280/48A, 040 11 Košice-Západ, IčO: 00691135",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Jesenná 12, 04001 Košice-Staré Mesto",Košický kraj,obec/mesto,určitý čas,ambulantná,30,NULL,NULL,NULL,Ing. Jaroslav Polaček,Anna čorňáková,07/06/2010 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,municipality owned
301,"Obec Bohdanovce, Bohdanovce 142, 044 16 Bohdanovce, IčO: 00323985",opatrovateľská služba,Zdravotne postihnutí občania,"Bohdanovce 142, 04416 Bohdanovce",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Marta Gamrátová,Marta Gamrátová,18/05/2010 00:00,NULL,SK HOBO CORE,Bohdanovce,nursing service,field,municipality owned
701,"Mesto Košice, Trieda SNP 1280/48A, 040 11 Košice-Západ, IčO: 00691135",komunitné centrum,Občania v krízovej situácii; Rodiny s demi,"Popradská 253/72, 04001 Košice-Západ",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Jaroslav Polaček,Mgr. Igor Rolný,07/06/2010 00:00,NULL,Košice,Košice,community centre,field,municipality owned
171,"Obec Slovenské Nové Mesto, Hlavná ulica 79/128, 076 33 Slovenské Nové Mesto, IčO: 00331929",komunitné centrum,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,"Karolov dvor 304/25, 07633 Slovenské Nové Mesto",Košický kraj,obec/mesto,neurčitý čas,terénna,20,NULL,NULL,NULL,Ján Kalinič,Mgr. Jozef Demeter,18/06/2020 00:00,NULL,SK HOBO CORE,Slovenské Nové Mesto,community centre,field,municipality owned
209,"OBEC SEňA, Abovská 200, 044 58 Seňa, IčO: 00324698",opatrovateľská služba,Seniori,"Seňa 166/66, 04458 Seňa",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Bc. Miroslav BAčENKO,Slávka Riganová,10/05/2010 00:00,NULL,SK HOBO CORE,Seňa,nursing service,field,municipality owned
305,"Obec Družstevná pri Hornáde, Hlavná 137/38, 044 31 Družstevná pri Hornáde, IčO: 00324116",opatrovateľská služba,Seniori,"Hlavná 38, 044 31 Družstevná pri Hornáde",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Ján Juhás,Bc. Kempecová Veronika,20/07/2011 00:00,NULL,SK HOBO CORE,Družstevná pri Hornáde,nursing service,field,municipality owned
776,"KOTVA n. o. Trebišov, Hurbanova 368/21, 075 01 Trebišov, IčO: 35582375",zariadenie núdzového bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,*,Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,20,NULL,NULL,NULL,Žaneta Lešundáková,Mgr. Lenka Urbanová,24/07/2009 00:00,NULL,Trebišov,Trebišov,emergency housion facility,residential,privately owned
390,"Obec Nižná Myšľa, Obchodná 104, 044 15 Nižná Myšľa, IčO: 00324493",opatrovateľská služba,Seniori,"Obchodná 104, 044 15 Nižná Myšľa",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Marián  Karvanský,Marián Karvanský,01/02/2010 00:00,NULL,SK HOBO CORE,Nižná Myšľa,nursing service,field,municipality owned
516,"Mesto Trebišov, M. R. Štefánika 862/204, 075 01 Trebišov, IčO: 00331996",opatrovateľská služba,Seniori,"M. R. Štefánika 862/204, 07501 Trebišov",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,PhDr. Marek čižmár,Mgr. Demjanová Henrieta,30/09/2009 00:00,NULL,Trebišov,Trebišov,nursing service,field,municipality owned
660,"Mestská čas Košice-Dargovských hrdinov, Dvorkinova 7, 04022 Košice-Dargovských hrdinov, IčO: 00690988",opatrovateľská služba,Zdravotne postihnutí občania,"Dvorkinova 937/7, 04022 Košice-Dargovských hrdinov",Košický kraj,obec/mesto,neurčitý čas,terénna,54,NULL,NULL,NULL,Mgr. Jozef Andrejčák,Margita Richtáriková,21/12/2009 00:00,NULL,Košice,Košice,nursing service,field,municipality owned
675,"Mestská čas Košice - Západ, Trieda SNP 800/39, 040 11 Košice-Západ, IčO: 00690970",opatrovateľská služba,Zdravotne postihnutí občania,"Trieda SNP 800/39, 04011 Košice-Západ",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Marcel Vrchota,Mgr. Monika Karafová,22/12/2009 00:00,NULL,Košice,Košice,nursing service,field,municipality owned
777,"Obec Kalša, Kalša 128, 04418 Kalša, IčO: 00324272",opatrovateľská služba,Seniori,"Kalša 128, 04418 Kalša",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Gabriela Ivaňáková,Anna Tothová,04/05/2010 00:00,NULL,SK HOBO CORE,Kalša,nursing service,field,municipality owned
477,"Mestská čas Košice-Juh, Smetanova 522/4, 040 01 Košice-Juh, IčO: 00691046",opatrovateľská služba,Seniori,"Smetanova 522/4, 04001 Košice-Juh",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,JUDr. Jaroslav Hlinka,Mgr. Emil Kurčák,22/12/2009 00:00,NULL,Košice,Košice,nursing service,field,municipality owned
685,"Mestská čas Košice - Sever, Festivalové Nám. 2269/2, 04001 Košice-Sever, IčO: 00690929",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku,Okres Košice I,Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. František Ténai,RNDr. Mária Koščová PhD.,22/12/2009 00:00,NULL,Košice,Košice,nursing service,field,municipality owned
282,"Obec Kysak, Kysak 146, 044 81 Kysak, IčO: 00324400",opatrovateľská služba,Zdravotne postihnutí občania,"Kysak 146, 04481 Kysak",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Ľubomír Krajňák,JUDr. Gabriela Hertnekiová,15/03/2010 00:00,NULL,SK HOBO CORE,Kysak,nursing service,field,municipality owned
279,"Obec Ladmovce, Hlavná ulica 46/59, 076 34 Ladmovce, IčO: 00331660",opatrovateľská služba,Seniori,"Hlavná ulica 46/59, 07634 Ladmovce",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Alžbeta  Szabová,"Ing. Alžbeta Szabová,",23/09/2014 00:00,NULL,SK HOBO CORE,Ladmovce,nursing service,field,municipality owned
695,"Obec Lastovce, Hlavná 306/42, 076 14 Lastovce, IčO: 00331678",opatrovateľská služba,Seniori,"Lastovce 306/42, 07614 Lastovce",Košický kraj,obec/mesto,určitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Michal Hrinko,Mgr. Michal Hrinko,17/02/2016 00:00,NULL,SK HOBO CORE,Lastovce,nursing service,field,municipality owned
4,"Obec Milhos, Milhos 6, 044 58 Milhos, IčO: 31947034",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Zdravotne postihnutí občania,"Milhosť 6, 044 58 Milhosť",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Štefan Nagy,Mgr. Enikö Makóová,17/05/2010 00:00,NULL,SK HOBO CORE,Milhosť,nursing service,field,municipality owned
172,"Obec Olšovany, Olšovany 35, 044 19 Olšovany, IčO: 00324574",opatrovateľská služba,Zdravotne postihnutí občania,"Olšovany 35, 044 19 Olšovany",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,František Marcin,Eva Uliková,04/03/2010 00:00,NULL,SK HOBO CORE,Olšovany,nursing service,field,municipality owned
518,"Obec Sady nad Torysou, Byster 189, 04441 Sady nad Torysou, IčO: 00324680",opatrovateľská služba,Zdravotne postihnutí občania,"Sady nad Torysou 189, 04441 Sady nad Torysou",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Iveta Tomková,Mgr. Monika Zátorská,10/05/2010 00:00,NULL,SK HOBO CORE,Sady nad Torysou,nursing service,field,municipality owned
583,"Obec Skároš, Skároš 91, 044 11 Skároš, IčO: 00324701",opatrovateľská služba,Seniori,"Skároš 91, 04411 Skároš",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Štefan Elizeuš,Monika Hudáková,11/03/2010 00:00,NULL,SK HOBO CORE,Skároš,nursing service,field,municipality owned
95,"Obec Slanské Nové Mesto, Slanské Nové Mesto 54, 044 18 Slanské Nové Mesto, IčO: 00324744",opatrovateľská služba,Zdravotne postihnutí občania,"Slanské Nové Mesto 54, 044 18 Slanské Nové Mesto",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Milan Diheneščík,Milan Diheneščík,17/05/2010 00:00,NULL,SK HOBO CORE,Slanské Nové Mesto,nursing service,field,municipality owned
396,"Obec Slivník, Hlavná 9/25, 076 12 Slivník, IčO: 00331911",opatrovateľská služba,Seniori,"Hlavná 9/25, 076 12 Slivník",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Vladimír Kráľovský,Vladimír Kraľovský,19/03/2010 00:00,NULL,SK HOBO CORE,Slivník,nursing service,field,municipality owned
27,"Zariadenie opatrovateľskej služby Jesienka, nezisková organizácia, Turgenevova 1708/9, 040 01 Košice-Juh, IčO: 35581271",zariadenie opatrovateľskej služby,Fyzická osoba s inými špecifickými ochoreniami; Fyzické osoby s demenciou,"Turgenevova 1708/9, 04001 Košice-Juh",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,6,NULL,NULL,NULL,Ing. Matúš Kubák,Ing. Anna Kubáková,14/08/2009 00:00,NULL,Košice,Košice,nursing care facility,residential,privately owned
49,"Vysokošpecializovaný odborný ústav geriatrický sv. Lukáša v Košiciach n. o., Strojárenská 1099/13, 040 01 Košice-Staré Mesto, IčO: 31256911",zariadenie opatrovateľskej služby,Seniori,"Strojárenská 1099/13, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,42,NULL,NULL,NULL,Mgr. Juraj Sýkora MPH,Mgr. Andrea Toroni,26/06/2009 00:00,NULL,Košice,Košice,nursing care facility,residential,privately owned
536,"Obec Streda nad Bodrogom, Hlavná 391/174, 076 31 Streda nad Bodrogom, IčO: 00331970",opatrovateľská služba,Seniori; Zdravotne postihnutí občania,"Hlavná 391/174, 07631 Streda nad Bodrogom",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Zoltán Mento,Mgr. Zuzana Szalontaiová,14/01/2016 00:00,NULL,SK HOBO CORE,Streda nad Bodrogom,nursing service,field,municipality owned
623,"Obec Svätá Mária, Svätá Mária 29, 07635 Svätá Mária, IčO: 00331325",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Svätá Mária,Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Alžbeta Mátyasová,PhDr. Valéria Horóckyová,07/01/2020 00:00,NULL,SK HOBO CORE,Svätá Mária,nursing service,field,municipality owned
387,"Obec Trstené pri Hornáde, Osloboditeľov 118, 044 11 Trstené pri Hornáde, IčO: 00324817",opatrovateľská služba,Seniori,"Osloboditeľov 118, 044 11 Trstené pri Hornáde",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,František Bartko,Ingrid Ruščáková,02/12/2009 00:00,NULL,SK HOBO CORE,Trstené pri Hornáde,nursing service,field,municipality owned
604,"Obec Valaliky, Poľná 165/8, 044 13 Valaliky, IčO: 00324850",opatrovateľská služba,Seniori,Valaliky,Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Štefan Petrík,"Mgr. Bakšiová Kvetoslava,",19/03/2010 00:00,NULL,SK HOBO CORE,Valaliky,nursing service,field,municipality owned
180,"Obec Vyšná Myšľa, Hlavná 60, 044 15 Vyšná Myšľa, IčO: 00324914",opatrovateľská služba,Seniori,"Hlavná 60, 04415 Vyšná Myšľa",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Paulína Guľášová,Paulína Guľášová,05/05/2010 00:00,NULL,SK HOBO CORE,Vyšná Myšľa,nursing service,field,municipality owned
215,"Obec Ždaňa, Ždaňa 118, 044 11 Ždaňa, IčO: 00324973",opatrovateľská služba,Seniori,"Ždaňa 118, 04411 Ždaňa",Košický kraj,obec/mesto,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Ján Kokarda,Eva Kyseľová,26/02/2010 00:00,NULL,SK HOBO CORE,Ždaňa,nursing service,field,municipality owned
184,"Teresa Benedicta, Námestie Jána Pavla II. 6073/7, 071 01 Michalovce, IčO: 31313680",zariadenie opatrovateľskej služby,Zdravotne postihnutí občania,"Slov. Nár. Povstania 1049/76, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,26,NULL,NULL,NULL,Peter Novysedlák,Mgr. Ján Varga,03/07/2009 00:00,NULL,Trebišov,Trebišov,nursing care facility,residential,privately owned
230,"ZOS MARGERITA n.o., Majerská ulica 67/55, 076 14 Michaľany, IčO: 35583258",zariadenie opatrovateľskej služby,Seniori,"Majerská 67/55, 07614 Michaľany",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,19,NULL,NULL,NULL,PhDr. Mária Rendešová,Ing. Radoslav Rendeš,18/09/2009 00:00,NULL,SK HOBO CORE,Michaľany,nursing care facility,residential,privately owned
